step,reason,rows_before,rows_after,rows_removed
timestamp,missing timestamp,928136,928136,0
payload,missing payload,928136,928136,0
byte_sanitize,out-of-range bytes,928136,928136,0
can_id,invalid can_id,928136,638312,289824
can_id_frequency,can_id occurrence < 5,638312,638312,0
timestamp_duplicate,duplicate consecutive timestamps,638312,638312,0
time_delta,non-positive time delta,638312,638312,0
time_gap_clip,extreme per-CAN-ID time gaps,638312,637670,642
mad_filter,catastrophic feature outliers,637670,606692,30978
iforest_filter,optional isolation-forest pre-clean,606692,603659,3033
