Time,CAN_ID,Severity,AttackType,Score,Reason,KbMatch,Explanation,Recommendation
01:00:00.028,0x7EC,LOW,CONTINUITY_BREAK,0,415,"timing=0.000, payload=1.185, ml=0.000, persistence=0.000, freq=36Hz, can_id_entropy=0.000","DoS / Flood Attack","DoS / Flood Attack pattern detected on 0x005 — score 0.854 (CRITICAL). ECU: Message: GnssAttitude (sender: Vector__XXX) on CAN-ID 0x005.","Isolate the bus segment, capture raw frames with timestamps, and compare injection rates against the vehicle's DBC nominal rates. Deploy a CAN firewall with rate-limiting rules for this message ID."
01:00:00.517,0x19,LOW,CONTINUITY_BREAK,0,440,"timing=0.004, payload=0.915, ml=0.591, persistence=0.000, freq=10Hz, can_id_entropy=1.535","","",""
01:00:00.521,0x7BB,MEDIUM,CONTINUITY_BREAK,0,624,"timing=0.014, payload=1.769, ml=0.000, persistence=0.000, freq=96Hz, can_id_entropy=1.535","","",""
01:00:01.000,0x7E4,LOW,CONTINUITY_BREAK,0,493,"timing=0.470, payload=0.938, ml=0.000, persistence=0.000, freq=2Hz, can_id_entropy=1.535","","",""
01:00:01.028,0x7EC,MEDIUM,CONTINUITY_BREAK,0,607,"timing=0.266, payload=1.045, ml=0.740, persistence=0.000, freq=10Hz, can_id_entropy=2.163","DoS / Flood Attack","DoS / Flood Attack pattern detected on 0x2020 — score 0.965 (CRITICAL). CAN-ID 0x2020 is not in the vehicle signal map — possible foreign node.","⚠ CRITICAL — ISOLATE — Rate-limit 0x2020: suspend frames exceeding normal frequency. Log all source timestamps for forensic review."
01:00:01.528,0x19,LOW,CONTINUITY_BREAK,0,426,"timing=0.004, payload=0.794, ml=0.733, persistence=0.000, freq=10Hz, can_id_entropy=2.262","","",""
01:00:01.530,0x7A8,LOW,CONTINUITY_BREAK,0,414,"timing=0.000, payload=1.183, ml=0.000, persistence=0.000, freq=42Hz, can_id_entropy=2.262","","",""
01:00:02.000,0x7E4,MEDIUM,CONTINUITY_BREAK,0,636,"timing=0.470, payload=0.924, ml=0.740, persistence=0.000, freq=2Hz, can_id_entropy=2.262","","",""
01:00:02.028,0x7EC,LOW,CONTINUITY_BREAK,0,541,"timing=0.289, payload=0.836, ml=0.739, persistence=0.000, freq=8Hz, can_id_entropy=2.262","","",""
01:00:02.540,0x19,LOW,CONTINUITY_BREAK,0,428,"timing=0.003, payload=0.801, ml=0.733, persistence=0.000, freq=10Hz, can_id_entropy=2.281","","",""
01:00:04.573,0x19,LOW,CONTINUITY_BREAK,0,486,"timing=0.003, payload=0.967, ml=0.733, persistence=0.000, freq=10Hz, can_id_entropy=2.267","","",""
01:00:05.000,0x7E4,HIGH,TIMING_BURST,0,838,"timing=1.044, payload=0.925, ml=0.740, persistence=0.010, freq=1Hz, can_id_entropy=2.267","","",""
