timestamp,can_id,b0,b1,b2,b3,b4,b5,b6,b7
1781811830.2461302,1009,12,28,87,240,0,0,0,0
1781811830.355086,1490,0,0,2,0,0,0,0,0
1781811830.4666548,1767,82,18,42,0,0,0,0,0
1781811830.580408,418,15,111,155,142,0,0,0,0
1781811830.6872373,1009,12,28,87,240,0,0,0,0
1781811830.7971692,1490,0,40,1,1,0,0,0,0
1781811830.9077218,1767,81,18,34,0,0,0,0,0
1781811831.0177114,418,15,108,155,141,0,0,0,0
1781811831.1291323,1009,12,28,87,240,0,0,0,0
1781811831.2392511,1490,1,24,0,20,0,0,0,0
1781811831.3494215,1767,81,18,27,0,0,0,0,0
1781811831.4615543,418,15,121,154,142,0,0,0,0
1781811831.5724342,1009,12,28,88,240,0,0,0,0
1781811831.6828568,1490,6,203,6,21,0,0,0,0
1781811831.7947538,1767,82,18,27,0,0,0,0,0
1781811831.9068937,418,15,135,153,143,0,0,0,0
1781811832.0177283,1009,12,28,88,240,0,0,0,0
1781811832.1290479,1490,10,230,2,20,0,0,0,0
1781811832.24055,1767,82,18,28,0,0,0,0,0
1781811832.3505304,418,15,127,151,145,0,0,0,0
1781811832.4605894,1009,12,28,88,240,0,0,0,0
1781811832.5624194,1490,13,42,3,20,0,0,0,0
1781811832.6732943,1767,82,18,31,0,0,0,0,0
1781811832.7836838,418,15,124,150,146,0,0,0,0
1781811832.8940814,1009,12,28,89,240,0,0,0,0
1781811833.0055618,1490,14,136,0,23,0,0,0,0
1781811833.1161613,1767,83,18,34,0,0,0,0,0
1781811833.2266529,418,15,116,149,147,0,0,0,0
1781811833.3386006,1009,12,28,89,240,0,0,0,0
1781811833.450633,1490,15,189,24,29,0,0,0,0
1781811833.5605266,1767,83,18,36,0,0,0,0,0
1781811833.6696935,418,15,110,147,148,0,0,0,0
1781811833.7802172,1009,12,28,90,240,0,0,0,0
1781811833.8916986,1490,16,244,0,29,0,0,0,0
1781811834.0034149,1767,83,18,43,0,0,0,0,0
1781811834.115147,418,15,107,146,149,0,0,0,0
1781811834.22519,1009,12,28,90,240,0,0,0,0
1781811834.337031,1490,19,36,0,35,0,0,0,0
1781811834.464334,1767,83,40,44,0,0,0,0,0
1781811834.5886784,418,15,108,144,150,0,0,0,0
1781811834.6985576,1009,12,28,90,240,0,0,0,0
1781811834.809626,1490,19,136,11,49,0,0,0,0
1781811834.9212866,1767,84,40,46,0,0,0,0,0
1781811835.0330176,418,15,96,143,151,0,0,0,0
1781811835.142587,1009,12,28,91,240,0,0,0,0
1781811835.2488432,1490,21,14,13,60,0,0,0,0
1781811835.356809,1767,84,40,48,0,0,0,0,0
1781811835.4674811,418,15,95,141,152,0,0,0,0
1781811835.576567,1009,12,28,91,240,0,0,0,0
1781811835.6840692,1490,23,112,5,90,0,0,0,0
1781811835.794984,1767,85,40,70,0,0,0,0,0
1781811835.9069836,418,15,101,138,155,0,0,0,0
